1132718023.73	4.01	139.48	Low_Frequency_Burst
1133834366.94	4.00	90.85	Low_Frequency_Burst
1132975036.30	4.50	89.80	Low_Frequency_Burst
1134015659.92	6.50	61.97	Low_Frequency_Burst
1132901868.73	6.25	57.77	Low_Frequency_Burst
1133934055.91	4.00	45.07	Low_Frequency_Burst
1134918164.56	3.19	44.26	Low_Frequency_Burst
1133964893.91	3.00	42.83	Low_Frequency_Burst
1134444856.69	3.50	35.70	Low_Frequency_Burst
1133679814.06	3.50	33.75	Low_Frequency_Burst
1132801614.74	3.50	26.63	Low_Frequency_Burst
1133053130.69	3.00	25.13	Low_Frequency_Burst
1134469366.44	3.00	24.75	Low_Frequency_Burst
1133056012.56	2.50	20.55	Low_Frequency_Burst
1132726924.03	1.25	19.75	Low_Frequency_Burst
1134916698.34	2.50	14.96	Low_Frequency_Burst
1133372530.09	0.75	8.05	Power_Line
1132813959.19	7.25	473.76	Low_Frequency_Burst
1132716716.44	4.00	68.78	Low_Frequency_Burst
1133295013.75	5.00	29.78	Low_Frequency_Burst
1133329778.25	3.50	19.12	Low_Frequency_Burst
1132620887.59	2.91	18.22	Low_Frequency_Burst
1132760967.53	1.50	16.86	Low_Frequency_Burst
1133085282.03	1.00	8.55	Power_Line
1132803217.41	4.50	355.94	Low_Frequency_Burst
1133887927.31	4.00	86.19	Low_Frequency_Burst
1133541373.24	4.25	37.17	Low_Frequency_Burst
1133592858.66	4.56	33.09	Low_Frequency_Burst
1133011769.69	3.25	32.61	Low_Frequency_Burst
1132713161.34	2.00	16.46	Low_Frequency_Burst
1133137425.63	3.38	14.94	Scattered_Light
1132683358.31	1.25	9.19	Scattered_Light
1132807955.06	0.93	8.72	Power_Line
1133003004.94	3.54	42.13	Low_Frequency_Burst
1133605228.75	4.00	36.67	Low_Frequency_Burst
1134820830.78	2.50	12.59	Low_Frequency_Burst
1134910106.42	1.16	8.22	Scratchy
1134403916.77	2.25	18.87	Low_Frequency_Burst
1132736573.81	1.12	10.47	Power_Line
1133334589.44	1.00	10.36	Power_Line
1134863457.41	3.00	28.61	Low_Frequency_Burst
1133888199.84	2.25	26.26	Low_Frequency_Burst
1134907283.70	5.75	9.56	Scratchy
1132724414.09	0.50	8.40	Power_Line
1132674835.63	2.56	15.96	Scattered_Light
